SEQ,학번,과목명,점수
1,S0001,데이터베이스,71
2,S0001,수학,63
3,S0001,미술,50
4,S0001,소프트웨어공학,56
5,S0001,국어,63
6,S0001,음악,78
7,S0001,영어,92
8,S0002,데이터베이스,84
9,S0002,음악,75
10,S0002,국어,52
11,S0002,미술,65
12,S0002,수학,85
13,S0002,소프트웨어공학,83
14,S0002,영어,63
15,S0003,수학,89
16,S0003,영어,63
17,S0003,국어,70
18,S0003,데이터베이스,92
19,S0003,음악,68
20,S0003,미술,62
21,S0003,소프트웨어공학,100
22,S0004,영어,92
23,S0004,음악,84
24,S0004,데이터베이스,54
25,S0004,국어,58
26,S0004,미술,82
27,S0004,수학,62
28,S0004,소프트웨어공학,55
29,S0005,수학,97
30,S0005,영어,71
31,S0005,국어,76
32,S0005,음악,89
33,S0005,데이터베이스,79
34,S0005,소프트웨어공학,71
35,S0005,미술,61
36,S0006,영어,58
37,S0006,음악,73
38,S0006,국어,91
39,S0006,소프트웨어공학,88
40,S0006,미술,65
41,S0006,데이터베이스,63
42,S0006,수학,52
43,S0007,수학,82
44,S0007,데이터베이스,88
45,S0007,국어,73
46,S0007,음악,79
47,S0007,미술,70
48,S0007,영어,89
49,S0007,소프트웨어공학,51
50,S0008,음악,95
51,S0008,영어,73
52,S0008,미술,83
53,S0008,수학,92
54,S0008,데이터베이스,53
55,S0008,국어,74
56,S0008,소프트웨어공학,67
57,S0009,수학,54
58,S0009,영어,61
59,S0009,음악,57
60,S0009,국어,95
61,S0009,소프트웨어공학,58
62,S0009,미술,75
63,S0009,데이터베이스,63
64,S0010,수학,81
65,S0010,데이터베이스,58
66,S0010,소프트웨어공학,72
67,S0010,미술,81
68,S0010,영어,91
69,S0010,국어,71
70,S0010,음악,59
71,S0011,영어,66
72,S0011,국어,53
73,S0011,데이터베이스,69
74,S0011,소프트웨어공학,87
75,S0011,미술,54
76,S0011,음악,83
77,S0011,수학,58
78,S0012,음악,88
79,S0012,국어,75
80,S0012,소프트웨어공학,57
81,S0012,수학,52
82,S0012,영어,95
83,S0012,데이터베이스,56
84,S0012,미술,98
85,S0013,수학,100
86,S0013,영어,81
87,S0013,미술,61
88,S0013,소프트웨어공학,68
89,S0013,데이터베이스,100
90,S0013,국어,95
91,S0013,음악,76
92,S0014,데이터베이스,83
93,S0014,국어,92
94,S0014,영어,70
95,S0014,수학,67
96,S0014,음악,54
97,S0014,미술,97
98,S0014,소프트웨어공학,65
99,S0015,데이터베이스,78
100,S0015,국어,92
101,S0015,영어,61
102,S0015,미술,60
103,S0015,소프트웨어공학,80
104,S0015,수학,55
105,S0015,음악,54
106,S0016,영어,93
107,S0016,미술,93
108,S0016,데이터베이스,73
109,S0016,음악,90
110,S0016,소프트웨어공학,54
111,S0016,수학,75
112,S0016,국어,70
113,S0017,영어,78
114,S0017,국어,73
115,S0017,데이터베이스,71
116,S0017,수학,59
117,S0017,소프트웨어공학,76
118,S0017,미술,71
119,S0017,음악,70
120,S0018,영어,51
121,S0018,데이터베이스,85
122,S0018,음악,59
123,S0018,소프트웨어공학,51
124,S0018,수학,98
125,S0018,미술,64
126,S0018,국어,56
127,S0019,수학,60
128,S0019,미술,51
129,S0019,데이터베이스,62
130,S0019,소프트웨어공학,72
131,S0019,영어,71
132,S0019,국어,54
133,S0019,음악,57
134,S0020,수학,76
135,S0020,데이터베이스,100
136,S0020,소프트웨어공학,93
137,S0020,미술,79
138,S0020,영어,87
139,S0020,국어,53
140,S0020,음악,98
141,S0021,영어,88
142,S0021,국어,63
143,S0021,데이터베이스,91
144,S0021,소프트웨어공학,59
145,S0021,미술,82
146,S0021,음악,75
147,S0021,수학,69
148,S0022,음악,96
149,S0022,국어,71
150,S0022,소프트웨어공학,68
151,S0022,수학,72
152,S0022,영어,68
153,S0022,데이터베이스,74
154,S0022,미술,85
155,S0023,수학,64
156,S0023,영어,99
157,S0023,미술,56
158,S0023,소프트웨어공학,61
159,S0023,데이터베이스,97
160,S0023,국어,94
161,S0023,음악,53
162,S0024,데이터베이스,83
163,S0024,국어,96
164,S0024,영어,66
165,S0024,수학,79
166,S0024,음악,96
167,S0024,미술,74
168,S0024,소프트웨어공학,92
169,S0025,데이터베이스,77
170,S0025,국어,94
171,S0025,영어,69
172,S0025,미술,100
173,S0025,소프트웨어공학,66
174,S0025,수학,60
175,S0025,음악,78
176,S0026,영어,89
177,S0026,미술,73
178,S0026,데이터베이스,92
179,S0026,음악,98
180,S0026,소프트웨어공학,60
181,S0026,수학,85
182,S0026,국어,71
183,S0027,영어,86
184,S0027,국어,76
185,S0027,데이터베이스,74
186,S0027,수학,85
187,S0027,소프트웨어공학,63
188,S0027,미술,70
189,S0027,음악,73
190,S0028,영어,90
191,S0028,데이터베이스,98
192,S0028,음악,77
193,S0028,소프트웨어공학,85
194,S0028,수학,53
195,S0028,미술,58
196,S0028,국어,84
197,S0029,수학,61
198,S0029,미술,62
199,S0029,데이터베이스,71
200,S0029,소프트웨어공학,85
201,S0029,영어,92
202,S0029,국어,69
203,S0029,음악,72
204,S0030,수학,51
205,S0030,데이터베이스,57
206,S0030,소프트웨어공학,99
207,S0030,미술,87
208,S0030,영어,67
209,S0030,국어,87
210,S0030,음악,66
211,S0031,영어,85
212,S0031,국어,90
213,S0031,데이터베이스,98
214,S0031,소프트웨어공학,64
215,S0031,미술,97
216,S0031,음악,74
217,S0031,수학,76
218,S0032,음악,95
219,S0032,국어,68
220,S0032,소프트웨어공학,98
221,S0032,수학,83
222,S0032,영어,100
223,S0032,데이터베이스,69
224,S0032,미술,84
225,S0033,수학,61
226,S0033,영어,87
227,S0033,미술,94
228,S0033,소프트웨어공학,87
229,S0033,데이터베이스,56
230,S0033,국어,88
231,S0033,음악,67
232,S0034,데이터베이스,71
233,S0034,국어,53
234,S0034,영어,77
235,S0034,수학,51
236,S0034,음악,66
237,S0034,미술,75
238,S0034,소프트웨어공학,72
239,S0035,데이터베이스,78
240,S0035,국어,60
241,S0035,영어,84
242,S0035,미술,81
243,S0035,소프트웨어공학,53
244,S0035,수학,61
245,S0035,음악,66
246,S0036,영어,53
247,S0036,미술,77
248,S0036,데이터베이스,100
249,S0036,음악,85
250,S0036,소프트웨어공학,75
251,S0036,수학,100
252,S0036,국어,88
253,S0037,영어,50
254,S0037,국어,75
255,S0037,데이터베이스,56
256,S0037,수학,85
257,S0037,소프트웨어공학,88
258,S0037,미술,68
259,S0037,음악,93
260,S0038,영어,62
261,S0038,데이터베이스,82
262,S0038,음악,54
263,S0038,소프트웨어공학,53
264,S0038,수학,73
265,S0038,미술,80
266,S0038,국어,51
267,S0039,수학,55
268,S0039,미술,74
269,S0039,데이터베이스,89
270,S0039,소프트웨어공학,93
271,S0039,영어,83
272,S0039,국어,97
273,S0039,음악,54
274,S0040,데이터베이스,61
275,S0040,수학,57
276,S0040,미술,57
277,S0040,소프트웨어공학,71
278,S0040,국어,71
279,S0040,음악,66
280,S0040,영어,91
281,S0041,데이터베이스,78
282,S0041,음악,100
283,S0041,국어,84
284,S0041,미술,51
285,S0041,수학,83
286,S0041,소프트웨어공학,71
287,S0041,영어,76
288,S0042,수학,74
289,S0042,영어,88
290,S0042,국어,61
291,S0042,데이터베이스,70
292,S0042,음악,94
293,S0042,미술,87
294,S0042,소프트웨어공학,58
295,S0043,영어,70
296,S0043,음악,99
297,S0043,데이터베이스,52
298,S0043,국어,64
299,S0043,미술,87
300,S0043,수학,83
301,S0043,소프트웨어공학,80
302,S0044,수학,61
303,S0044,영어,75
304,S0044,국어,88
305,S0044,음악,88
306,S0044,데이터베이스,73
307,S0044,소프트웨어공학,66
308,S0044,미술,50
309,S0045,영어,99
310,S0045,음악,86
311,S0045,국어,87
312,S0045,소프트웨어공학,78
313,S0045,미술,76
314,S0045,데이터베이스,69
315,S0045,수학,62
316,S0046,수학,91
317,S0046,데이터베이스,67
318,S0046,국어,56
319,S0046,음악,94
320,S0046,미술,76
321,S0046,영어,61
322,S0046,소프트웨어공학,81
323,S0047,음악,52
324,S0047,영어,55
325,S0047,미술,98
326,S0047,수학,71
327,S0047,데이터베이스,76
328,S0047,국어,84
329,S0047,소프트웨어공학,88
330,S0048,수학,55
331,S0048,영어,62
332,S0048,음악,60
333,S0048,국어,66
334,S0048,소프트웨어공학,59
335,S0048,미술,94
336,S0048,데이터베이스,67
337,S0049,국어,63
338,S0049,영어,63
339,S0049,수학,51
340,S0049,음악,94
341,S0049,미술,55
342,S0049,소프트웨어공학,71
343,S0049,데이터베이스,59
344,S0050,소프트웨어공학,69
345,S0050,영어,89
346,S0050,국어,65
347,S0050,수학,73
348,S0050,미술,78
349,S0050,데이터베이스,88
350,S0050,음악,73
351,S0051,미술,57
352,S0051,데이터베이스,75
353,S0051,영어,58
354,S0051,국어,71
355,S0051,수학,58
356,S0051,음악,69
357,S0051,소프트웨어공학,62
358,S0052,음악,68
359,S0052,데이터베이스,78
360,S0052,국어,54
361,S0052,소프트웨어공학,89
362,S0052,미술,85
363,S0052,영어,57
364,S0052,수학,88
365,S0053,소프트웨어공학,71
366,S0053,미술,70
367,S0053,수학,99
368,S0053,국어,68
369,S0053,영어,57
370,S0053,데이터베이스,90
371,S0053,음악,88
372,S0054,영어,91
373,S0054,데이터베이스,77
374,S0054,미술,94
375,S0054,소프트웨어공학,57
376,S0054,음악,59
377,S0054,수학,89
378,S0054,국어,73
379,S0055,수학,54
380,S0055,음악,68
381,S0055,영어,76
382,S0055,소프트웨어공학,88
383,S0055,미술,71
384,S0055,국어,72
385,S0055,데이터베이스,64
386,S0056,음악,73
387,S0056,영어,64
388,S0056,소프트웨어공학,86
389,S0056,국어,86
390,S0056,미술,90
391,S0056,수학,82
392,S0056,데이터베이스,74
393,S0057,국어,86
394,S0057,소프트웨어공학,79
395,S0057,음악,72
396,S0057,영어,53
397,S0057,데이터베이스,81
398,S0057,미술,59
399,S0057,수학,67
400,S0058,음악,65
401,S0058,데이터베이스,96
402,S0058,소프트웨어공학,66
403,S0058,영어,88
404,S0058,미술,69
405,S0058,국어,86
406,S0058,수학,76
407,S0059,영어,87
408,S0059,수학,98
409,S0059,데이터베이스,63
410,S0059,소프트웨어공학,94
411,S0059,국어,78
412,S0059,미술,85
413,S0059,음악,96
414,S0060,국어,67
415,S0060,미술,77
416,S0060,수학,86
417,S0060,소프트웨어공학,84
418,S0060,음악,60
419,S0060,데이터베이스,59
420,S0060,영어,80
421,S0061,영어,79
422,S0061,소프트웨어공학,82
423,S0061,수학,76
424,S0061,음악,66
425,S0061,국어,99
426,S0061,미술,81
427,S0061,데이터베이스,52
428,S0062,데이터베이스,68
429,S0062,소프트웨어공학,55
430,S0062,음악,86
431,S0062,수학,82
432,S0062,국어,96
433,S0062,영어,61
434,S0062,미술,59
435,S0063,음악,52
436,S0063,영어,57
437,S0063,미술,68
438,S0063,소프트웨어공학,53
439,S0063,데이터베이스,93
440,S0063,수학,69
441,S0063,국어,81
442,S0064,음악,74
443,S0064,미술,62
444,S0064,국어,55
445,S0064,데이터베이스,78
446,S0064,영어,94
447,S0064,소프트웨어공학,87
448,S0064,수학,92
449,S0065,데이터베이스,97
450,S0065,영어,54
451,S0065,국어,60
452,S0065,소프트웨어공학,100
453,S0065,수학,95
454,S0065,미술,85
455,S0065,음악,82
456,S0066,수학,81
457,S0066,영어,72
458,S0066,음악,75
459,S0066,미술,88
460,S0066,데이터베이스,83
461,S0066,소프트웨어공학,70
462,S0066,국어,84
463,S0067,영어,50
464,S0067,음악,87
465,S0067,미술,76
466,S0067,데이터베이스,72
467,S0067,소프트웨어공학,56
468,S0067,국어,54
469,S0067,수학,66
470,S0068,국어,91
471,S0068,소프트웨어공학,76
472,S0068,데이터베이스,51
473,S0068,미술,88
474,S0068,음악,98
475,S0068,영어,96
476,S0068,수학,87
477,S0069,국어,71
478,S0069,소프트웨어공학,51
479,S0069,데이터베이스,61
480,S0069,수학,58
481,S0069,음악,52
482,S0069,영어,56
483,S0069,미술,90
484,S0070,데이터베이스,54
485,S0070,소프트웨어공학,100
486,S0070,미술,92
487,S0070,음악,75
488,S0070,영어,91
489,S0070,수학,87
490,S0070,국어,58
491,S0071,미술,82
492,S0071,수학,80
493,S0071,소프트웨어공학,65
494,S0071,영어,80
495,S0071,음악,78
496,S0071,국어,81
497,S0071,데이터베이스,78
498,S0072,영어,75
499,S0072,소프트웨어공학,88
500,S0072,수학,64
501,S0072,음악,71
502,S0072,국어,94
503,S0072,데이터베이스,60
504,S0072,미술,69
505,S0073,소프트웨어공학,65
506,S0073,데이터베이스,92
507,S0073,음악,97
508,S0073,국어,97
509,S0073,수학,97
510,S0073,영어,83
511,S0073,미술,84
512,S0074,미술,61
513,S0074,국어,95
514,S0074,데이터베이스,55
515,S0074,수학,54
516,S0074,영어,95
517,S0074,음악,80
518,S0074,소프트웨어공학,99
519,S0075,미술,81
520,S0075,국어,100
521,S0075,데이터베이스,82
522,S0075,수학,97
523,S0075,영어,55
524,S0075,음악,58
525,S0075,소프트웨어공학,62
526,S0076,소프트웨어공학,90
527,S0076,음악,83
528,S0076,수학,63
529,S0076,미술,57
530,S0076,영어,67
531,S0076,데이터베이스,55
532,S0076,국어,91
533,S0077,수학,86
534,S0077,영어,52
535,S0077,데이터베이스,64
536,S0077,음악,98
537,S0077,소프트웨어공학,53
538,S0077,국어,82
539,S0077,미술,78
540,S0078,영어,90
541,S0078,미술,76
542,S0078,데이터베이스,93
543,S0078,음악,69
544,S0078,국어,58
545,S0078,수학,69
546,S0078,소프트웨어공학,72
547,S0079,수학,61
548,S0079,국어,92
549,S0079,미술,81
550,S0079,음악,82
551,S0079,데이터베이스,69
552,S0079,소프트웨어공학,60
553,S0079,영어,85
554,S0080,미술,79
555,S0080,국어,68
556,S0080,영어,66
557,S0080,음악,68
558,S0080,소프트웨어공학,81
559,S0080,데이터베이스,55
560,S0080,수학,74
561,S0081,소프트웨어공학,100
562,S0081,데이터베이스,62
563,S0081,국어,95
564,S0081,영어,56
565,S0081,음악,96
566,S0081,수학,81
567,S0081,미술,50
568,S0082,수학,62
569,S0082,데이터베이스,85
570,S0082,영어,74
571,S0082,미술,78
572,S0082,소프트웨어공학,76
573,S0082,국어,94
574,S0082,음악,56
575,S0083,미술,50
576,S0083,소프트웨어공학,60
577,S0083,음악,94
578,S0083,영어,58
579,S0083,국어,81
580,S0083,데이터베이스,74
581,S0083,수학,61
582,S0084,국어,93
583,S0084,데이터베이스,93
584,S0084,소프트웨어공학,77
585,S0084,미술,67
586,S0084,수학,96
587,S0084,음악,89
588,S0084,영어,74
589,S0085,국어,51
590,S0085,데이터베이스,93
591,S0085,소프트웨어공학,85
592,S0085,음악,58
593,S0085,영어,56
594,S0085,미술,92
595,S0085,수학,90
596,S0086,소프트웨어공학,60
597,S0086,음악,100
598,S0086,국어,64
599,S0086,수학,60
600,S0086,영어,79
601,S0086,미술,55
602,S0086,데이터베이스,58
603,S0087,소프트웨어공학,60
604,S0087,데이터베이스,97
605,S0087,국어,92
606,S0087,미술,54
607,S0087,영어,100
608,S0087,음악,85
609,S0087,수학,66
610,S0088,소프트웨어공학,66
611,S0088,국어,100
612,S0088,수학,87
613,S0088,영어,60
614,S0088,미술,78
615,S0088,음악,52
616,S0088,데이터베이스,98
617,S0089,미술,52
618,S0089,음악,98
619,S0089,국어,98
620,S0089,영어,88
621,S0089,소프트웨어공학,82
622,S0089,데이터베이스,98
623,S0089,수학,100
624,S0090,국어,75
625,S0090,미술,93
626,S0090,영어,77
627,S0090,소프트웨어공학,57
628,S0090,데이터베이스,93
629,S0090,음악,90
630,S0090,수학,81
631,S0091,미술,83
632,S0091,소프트웨어공학,91
633,S0091,데이터베이스,61
634,S0091,국어,89
635,S0091,영어,50
636,S0091,음악,83
637,S0091,수학,64
638,S0092,영어,56
639,S0092,데이터베이스,75
640,S0092,소프트웨어공학,74
641,S0092,수학,87
642,S0092,국어,96
643,S0092,음악,68
644,S0092,미술,50
645,S0093,데이터베이스,61
646,S0093,소프트웨어공학,67
647,S0093,음악,57
648,S0093,미술,79
649,S0093,수학,72
650,S0093,영어,54
651,S0093,국어,75
652,S0094,음악,95
653,S0094,데이터베이스,56
654,S0094,소프트웨어공학,51
655,S0094,미술,73
656,S0094,수학,50
657,S0094,영어,89
658,S0094,국어,87
659,S0095,데이터베이스,94
660,S0095,소프트웨어공학,72
661,S0095,수학,64
662,S0095,미술,77
663,S0095,영어,60
664,S0095,국어,62
665,S0095,음악,82
666,S0096,소프트웨어공학,95
667,S0096,데이터베이스,70
668,S0096,국어,81
669,S0096,음악,86
670,S0096,영어,87
671,S0096,수학,67
672,S0096,미술,99
673,S0097,데이터베이스,51
674,S0097,영어,73
675,S0097,국어,58
676,S0097,수학,100
677,S0097,음악,54
678,S0097,소프트웨어공학,50
679,S0097,미술,84
680,S0098,미술,66
681,S0098,영어,86
682,S0098,데이터베이스,55
683,S0098,음악,93
684,S0098,소프트웨어공학,85
685,S0098,국어,91
686,S0098,수학,76
687,S0099,수학,97
688,S0099,소프트웨어공학,60
689,S0099,음악,53
690,S0099,영어,88
691,S0099,데이터베이스,76
692,S0099,미술,93
693,S0099,국어,75
694,S0100,국어,83
695,S0100,영어,88
696,S0100,수학,65
697,S0100,데이터베이스,83
698,S0100,미술,76
699,S0100,소프트웨어공학,79
700,S0100,음악,73
